PL06041607_1	PL06041607_0
1817	1999.32440245934
1815	1999.31150779382
1819	1999.30183690384
1816	1999.29216610742
1815	1999.27927185773
1821	1999.26960127962
1822	1999.25670732101
1814	1999.24703696119
1802	1999.23736669494
1808	1999.22447315212
1814	1999.21480310416
1800	1999.20513314974
1803	1999.1922400227
1823	1999.18257028656
1805	1999.17290064397
1809	1999.16000793269
1804	1999.15033850837
1800	1999.14066917759
1813	1999.12777688205
1809	1999.11810776952
1813	1999.10521576499
1801	1999.09554687072
1813	1999.08587806998
1797	1999.07298648115
1808	1999.06331789865
1807	1999.05364940967
1808	1999.04075823653
1812	1999.03108996579
1808	1999.02142178857
1794	1999.00853103109
1801	1998.99886307209
1811	1998.98597260557
1810	1998.97630486478
1814	1998.96663721751
1811	1998.95374716661
1803	1998.94407973754
1792	1998.93441240198
1811	1998.9215227667
1802	1998.91185564933
1803	1998.90218862547
1793	1998.88929940577
1809	1998.87963260009
1796	1998.8667436713
1816	1998.85707708379
1791	1998.84741058978
1805	1998.83452207654
1796	1998.8248558007
1796	1998.81518961835
1801	1998.80230152064
1814	1998.79263555644
1806	1998.78296968573
1788	1998.77008200355
1799	1998.76041635098
1794	1998.7507507919
1799	1998.73786352521
1798	1998.72819818426
1814	1998.7153112084
1799	1998.70564608557
1802	1998.69598105622
1803	1998.68309449583
1810	1998.67342968459
1799	1998.66376496683
1802	1998.65087882188
1795	1998.64121432221
1809	1998.63154991602
1806	1998.61866418649
1803	1998.60899999839
1800	1998.59611455964
1799	1998.58645058962
1809	1998.57678671307
1795	1998.56390168971
1795	1998.55423803122
1798	1998.5445744662
1801	1998.53168985821
1799	1998.52202651124
1787	1998.51236325773
1794	1998.49947906509
1799	1998.48981602963
1798	1998.47693212772
1797	1998.4672693103
1799	1998.45760658634
1797	1998.44472309974
1805	1998.4350605938
1792	1998.42539818131
1797	1998.41251511
1797	1998.40285291553
1795	1998.3931908145
1804	1998.38030815846
1801	1998.37064627544
1802	1998.36098448585
1794	1998.34810224507
1799	1998.33844067349
1791	1998.32555872337
1793	1998.31589736978
1806	1998.30623610961
1802	1998.29335457471
1803	1998.28369353253
1809	1998.27403258377
1797	1998.26115146407
1801	1998.25149073328
1791	1998.24183009591
1800	1998.22894939139
1804	1998.21928897197
1804	1998.20640855807
1798	1998.19674835661
1801	1998.18708824857
1803	1998.1742082498
1811	1998.1645483597
1803	1998.154888563
1793	1998.14200897936
1799	1998.1323494006
1800	1998.12268991524
1808	1998.1098107467
1801	1998.10015147926
1800	1998.08727260128
1799	1998.07761355176
1805	1998.06795459563
1812	1998.05507613273
1805	1998.0454173945
1807	1998.03575874966
1806	1998.02288070181
1808	1998.01322227486
1805	1998.0035639413
1811	1997.99068630848
1810	1997.9810281928
1813	1997.9713701705
1811	1997.95849295269
1820	1997.94883514826
1814	1997.93595822094
1806	1997.92630063439
1808	1997.9166431412
1805	1997.90376662885
1816	1997.89410935352
1820	1997.88445217156
1823	1997.87157607417
1808	1997.86191911005
1811	1997.85226223929
1810	1997.83938655684
1814	1997.82972990392
1822	1997.81685451191
1824	1997.80719807682
1817	1997.79754173508
1823	1997.78466675797
1829	1997.77501063405
1817	1997.76535460347
1821	1997.75248004125
1816	1997.74282422848
1826	1997.73316850906
1827	1997.72029436169
1820	1997.71063886007
1819	1997.69776500309
1825	1997.68810971926
1828	1997.67845452876
1817	1997.66558108661
1823	1997.65592611389
1825	1997.6462712345
1827	1997.63339820716
1812	1997.62374354554
1823	1997.61408897725
1828	1997.6012163647
1819	1997.59156201416
1812	1997.58190775695
1835	1997.56903555916
1821	1997.5593815197
1831	1997.54650961224
1822	1997.53685579051
1825	1997.5272020621
1830	1997.51433056938
1830	1997.5046770587
1831	1997.49502364133
1829	1997.48215256332
1838	1997.47249936367
1836	1997.46284625732
1861	1997.449975594
1828	1997.44032270536
1820	1997.42745233232
1835	1997.41779966138
1821	1997.40814708375
1824	1997.39527712536
1833	1997.38562476541
1853	1997.37597249876
1839	1997.36310295501
1841	1997.35345090604
1834	1997.34379895036
1845	1997.33092982123
1836	1997.32127808321
1837	1997.30840924431
1829	1997.29875772395
1821	1997.28910629689
1830	1997.27623787256
1852	1997.26658666314
1832	1997.256935547
1842	1997.24406753725
1819	1997.23441663875
1843	1997.22476583352
1838	1997.21189823831
1833	1997.20224765071
1858	1997.19259715638
1835	1997.17972997569
1814	1997.17007969899
1827	1997.15721280845
1854	1997.14756274936
1841	1997.13791278352
1843	1997.12504630748
1852	1997.11539655925
1846	1997.10574690427
1816	1997.0928808427
1854	1997.08323140532
1837	1997.07358206119
1851	1997.06071641406
1855	1997.05106728751
1851	1997.0382019305
1836	1997.02855302152
1830	1997.01890420578
1831	1997.00603926318
1821	1996.99639066501
1832	1996.98674216008
1826	1996.97387763188
1832	1996.9642293445
1832	1996.95458115036
1816	1996.94171703653
1836	1996.93206905993
1823	1996.91920523615
1843	1996.90955747709
1839	1996.89990981125
1836	1996.88704640181
1845	1996.8773989535
1834	1996.86775159841
1827	1996.8548886033
1835	1996.84524146572
